Cust_Id,Calendar_Dt,Amt_LE
175731818,2019-11-02,60.61
165892302,2019-11-02,0.20
31220765,2019-11-02,175.36
36721367,2019-11-05,0.01
122126398,2019-11-03,0.10
180133927,2019-11-02,127.72
102922885,2019-11-02,0.20
178338457,2019-11-01,0.49
176391069,2019-11-02,100.51
180056254,2019-11-07,20.17
109421244,2019-11-03,27.39
170895157,2019-11-02,86.58
182082335,2019-11-04,7.21
17060014,2019-11-05,0.04
174888734,2019-11-02,121.33
186622559,2019-11-02,596.76
100510193,2019-11-03,18.20
32874612,2019-11-02,9.46
59331964,2019-11-06,95.55
131964812,2019-11-07,2.11
94837237,2019-11-02,19.55
161144101,2019-11-02,176.24
163373490,2019-11-02,126.27
140684852,2019-11-02,1.29
177298347,2019-11-06,2.13
187713609,2019-11-04,46.90
115447081,2019-11-02,87.88
154362885,2019-11-01,21.87
115194486,2019-11-02,74.69
161386765,2019-11-02,0.03
91935894,2019-11-08,0.00
3648871,2019-11-02,2.07
28469954,2019-11-02,468.74
176565991,2019-11-02,163.13
177705268,2019-11-04,0.19
51225375,2019-11-02,277.97
154853271,2019-11-04,8.84
29134261,2019-11-02,96.10
177617603,2019-11-02,0.00
2863537,2019-11-02,0.32
145717195,2019-11-02,117.85
182084966,2019-11-05,0.00
185776722,2019-11-03,0.10
7111177,2019-11-02,0.01
126603263,2019-11-05,0.10
185393108,2019-11-02,10.29
149042650,2019-11-02,95.00
109241489,2019-11-02,9.48
123973601,2019-11-03,50.84
120087429,2019-11-02,186.86
136207926,2019-11-02,0.08
153196406,2019-11-02,0.04
24978019,2019-11-02,0.32
108271260,2019-11-04,0.00
100913953,2019-11-02,99.61
96356927,2019-11-02,0.00
114372324,2019-11-02,25.13
178184499,2019-11-03,13.49
186240678,2019-11-02,67.43
118576978,2019-11-04,0.03
181275488,2019-11-02,40.84
152104214,2019-11-02,102.35
187303262,2019-11-01,201.14
166198956,2019-11-02,0.00
187230809,2019-11-02,126.43
187710122,2019-11-02,0.00
182722010,2019-11-02,330.36
187544927,2019-11-05,10.91
159826762,2019-11-03,27.63
166639136,2019-11-02,0.00
132056475,2019-11-02,97.43
177532487,2019-11-02,33.22
124954474,2019-11-05,91.63
127991137,2019-11-01,12.31
183985963,2019-11-03,150.45
176804291,2019-11-08,53.14
180288211,2019-11-01,0.00
161119162,2019-11-07,38.38
16686903,2019-11-03,0.32
89888014,2019-11-02,0.20
146229624,2019-11-02,203.59
179680329,2019-11-04,0.00
14107405,2019-11-05,17.63
188128789,2019-11-02,479.16
175535320,2019-11-02,0.00
97508011,2019-11-04,84.72
148758550,2019-11-02,0.00
180886818,2019-11-02,1.67
132638930,2019-11-02,256.76
15154367,2019-11-02,0.01
186909963,2019-11-03,0.01
53921841,2019-11-01,0.01
7272212,2019-11-02,12.89
175659916,2019-11-02,0.32
2728318,2019-11-02,2.88
6585881,2019-11-02,411.33
40108528,2019-11-05,1.23
186416662,2019-11-08,605.03
35468079,2019-11-05,0.00
100431704,2019-11-02,82.75
7371276,2019-11-02,5.46
74234859,2019-11-02,56.61
185888266,2019-11-08,0.00
160737180,2019-11-02,1614.09
141633017,2019-11-02,0.11
115168344,2019-11-03,46.97
51162731,2019-11-02,26.29
127421572,2019-11-04,6.15
138532770,2019-11-02,0.26
185067490,2019-11-04,0.13
10430821,2019-11-05,336.79
143364190,2019-11-02,308.72
5793430,2019-11-01,220.83
339749,2019-11-02,0.00
186892078,2019-11-01,420.27
150594844,2019-11-02,0.00
183108560,2019-11-04,187.11
179241821,2019-11-07,10.36
180000115,2019-11-03,29.78
183602187,2019-11-02,99.78
145404179,2019-11-03,0.10
27315200,2019-11-02,22.77
120503057,2019-11-04,0.32
179494008,2019-11-02,29.46
157831553,2019-11-02,101.47
161033516,2019-11-02,112.34
171362867,2019-11-02,116.68
175129522,2019-11-06,0.09
134353749,2019-11-01,0.29
181610650,2019-11-03,0.00
31368586,2019-11-02,82.80
182897014,2019-11-04,0.32
152942669,2019-11-02,180.11
133938426,2019-11-02,0.01
33400602,2019-11-04,0.00
176125342,2019-11-01,0.00
158677962,2019-11-07,0.01
95447222,2019-11-02,81.95
181156644,2019-11-02,91.21
187031173,2019-11-02,0.00
186602453,2019-11-02,479.54
182171775,2019-11-02,68.01
64931447,2019-11-02,3.83
4316116,2019-11-04,0.10
124376057,2019-11-02,38.16
180957374,2019-11-03,0.64
187490277,2019-11-05,683.32
180282705,2019-11-02,1.87
63965155,2019-11-05,0.02
126430320,2019-11-02,2.45
166937960,2019-11-05,0.20
99913403,2019-11-02,46.03
54667228,2019-11-02,0.62
182568704,2019-11-01,0.00
86731302,2019-11-02,196.08
184098262,2019-11-08,11.22
82173460,2019-11-02,153.59
162772275,2019-11-05,0.00
42136466,2019-11-02,41.79
61187651,2019-11-03,0.64
187170348,2019-11-06,0.01
138033555,2019-11-05,4.46
168204136,2019-11-05,46.65
139915588,2019-11-05,41.05
186844015,2019-11-05,57.37
185838775,2019-11-02,0.45
135381747,2019-11-02,16.31
9947777,2019-11-06,234.72
171118163,2019-11-03,0.00
179054827,2019-11-02,191.69
173117124,2019-11-02,1.94
187243453,2019-11-02,46.47
138937550,2019-11-02,6.25
185903518,2019-11-01,0.00
51785440,2019-11-02,269.61
135644231,2019-11-03,0.01
186952478,2019-11-02,194.77
186715137,2019-11-03,0.32
152418025,2019-11-03,1.92
69562373,2019-11-04,108.86
175731818,2019-11-03,0.98
165892302,2019-11-03,0.20
31220765,2019-11-03,82.44
143126664,2019-11-01,40.36
122126398,2019-11-04,0.10
180133927,2019-11-03,125.58
102922885,2019-11-03,0.20
178338457,2019-11-02,3.65
176391069,2019-11-03,3.54
38337284,2019-11-03,0.13
109421244,2019-11-04,99.97
170895157,2019-11-03,50.70
182082335,2019-11-07,23.41
181882535,2019-11-01,67.95
174888734,2019-11-03,3.84
186622559,2019-11-03,282.64
100510193,2019-11-04,161.74
32874612,2019-11-03,54.11
59331964,2019-11-07,188.51
97510640,2019-11-01,283.50
94837237,2019-11-03,13.78
161144101,2019-11-03,73.09
163373490,2019-11-03,143.84
140684852,2019-11-04,0.32
177298347,2019-11-07,87.45
187713609,2019-11-05,70.66
115447081,2019-11-03,81.47
154362885,2019-11-02,40.55
115194486,2019-11-03,42.86
161386765,2019-11-03,0.08
111720638,2019-11-01,172.47
3648871,2019-11-04,4.91
28469954,2019-11-03,1205.56
176565991,2019-11-03,87.79
2179000,2019-11-02,24.70
51225375,2019-11-03,154.06
154853271,2019-11-05,32.03
29134261,2019-11-03,33.68
166020648,2019-11-07,2.07
2863537,2019-11-03,8.01
145717195,2019-11-03,217.59
182084966,2019-11-07,0.00
185776722,2019-11-04,0.19
187441030,2019-11-01,48.31
187027236,2019-11-06,0.00
185393108,2019-11-03,144.53
149042650,2019-11-03,318.88
109241489,2019-11-03,23.50
123973601,2019-11-04,29.27
120087429,2019-11-03,164.59
136207926,2019-11-03,0.09
153196406,2019-11-08,0.30
24978019,2019-11-03,0.32
108271260,2019-11-08,0.00
100913953,2019-11-03,90.74
155914793,2019-11-01,470.70
114372324,2019-11-03,18.43
178184499,2019-11-04,56.16
186240678,2019-11-03,56.85
118576978,2019-11-05,0.01
181275488,2019-11-03,0.29
152104214,2019-11-03,111.51
187303262,2019-11-02,479.41
166198956,2019-11-03,0.00
187230809,2019-11-03,290.39
66667983,2019-11-01,32.17
182722010,2019-11-05,2.56
187544927,2019-11-06,34.33
159826762,2019-11-04,22.07
166639136,2019-11-03,0.00
132056475,2019-11-03,66.05
177532487,2019-11-03,47.93
124954474,2019-11-06,170.75
127991137,2019-11-02,144.47
183985963,2019-11-07,15.74
141553895,2019-11-01,388.49
180288211,2019-11-02,0.00
161119162,2019-11-08,156.13
16686903,2019-11-05,11.85
89888014,2019-11-03,157.69
146229624,2019-11-03,267.22
179680329,2019-11-05,0.89
14107405,2019-11-06,6.41
188128789,2019-11-03,217.25
175535320,2019-11-03,0.00
97508011,2019-11-08,61.85
148758550,2019-11-03,0.00
180886818,2019-11-03,0.99
132638930,2019-11-03,183.71
